player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Ceballos, Dani",12,8,0,2,3,7,0,0
"Albrighton, Marc",12,2,0,1,2,4,1,0
"De Gea, David",26,26,0,0,0,0,2,0
"Wan-Bissaka, Aaron",23,23,0,2,0,4,5,0
"Shaw, Luke",15,11,0,0,3,5,4,0
"Pogba, Paul",7,5,0,2,4,9,0,0
"Lingard, Jesse",20,9,0,0,4,18,3,0
"Arrizabalaga, Kepa",24,24,0,0,0,0,0,0
"Zouma, Kurt",21,18,0,0,3,9,4,0
"Christensen, Andreas",13,13,0,0,1,3,3,0
Emerson,14,13,0,0,8,14,3,0
Pedro,7,6,0,0,5,15,1,0
"Barkley, Ross",10,6,0,0,6,18,0,0
"Giroud, Olivier",6,2,0,0,1,2,0,0
"Mata, Juan",16,8,0,2,1,10,1,0
"Kolasinac, Sead",16,12,0,2,0,3,3,0
"Yoshida, Maya",8,6,0,0,3,5,1,0
"Krafth, Emil",11,6,0,0,0,3,0,0
"Sung-yueng, Ki",3,1,0,0,0,0,0,0
"Masuaku, Arthur",15,10,0,1,2,6,3,0
"Daniels, Charlie",2,2,0,0,0,0,0,0
"Surman, Andrew",4,1,0,0,0,0,1,0
"Muto, Yoshinori",7,2,0,0,0,1,0,0
"Welbeck, Danny",7,3,0,0,3,5,0,0
"Holgate, Mason",19,16,0,3,3,8,3,0
"Sanchez, Carlos",6,1,0,0,0,0,0,0
"Davis, Keinan",7,0,0,0,3,5,0,0
"Byram, Sam",17,15,0,0,2,9,4,0
"Lo Celso, Giovani",16,5,0,0,2,10,2,0
"McCarthy, James",21,9,0,0,4,9,5,0
"Jagielka, Phil",4,1,0,0,0,0,0,0
"Fuchs, Christian",7,6,0,0,1,4,0,0
"Guilbert, Frederic",21,19,0,2,2,5,6,0
"Cahill, Gary",17,17,0,1,1,3,1,0
"Danso, Kevin",6,3,0,1,0,1,0,0
"Young, Ashley",12,10,0,0,0,3,5,0
"Morgan, Wes",8,1,0,0,2,2,0,0
"Morrison, Ravel",1,0,0,0,0,0,0,0
"Mendy, Nampalys",4,3,0,0,1,1,0,0
"Quina, Domingos",4,0,0,0,1,1,0,0
"Ibe, Jordon",2,0,0,0,0,0,0,0
"Cancelo, Joao",10,7,0,0,4,10,1,0
"Gibbs-White, Morgan",4,1,0,0,0,1,0,0
