player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Patricio, Rui",37,37,0,0,0,0,0,0
"Janssen, Vincent",3,0,0,0,2,3,0,0
"Guaita, Vicente",20,20,0,0,0,0,2,0
"Dalot, Diogo",16,12,0,2,0,15,3,0
"Sung-yueng, Ki",18,14,0,1,2,7,2,0
"Cunningham, Gregory",7,7,0,0,1,2,3,0
"Fabianski, Lukasz",38,38,0,0,0,0,0,0
"Elyounoussi, Mohamed",16,8,0,0,5,18,0,0
"Sobhi, Ramadan",4,0,0,0,0,0,0,0
"Mendy, Nampalys",31,23,0,0,0,2,5,0
"Navarro, Marc",2,1,0,0,0,0,0,0
"Wilmot, Ben",2,0,0,0,0,0,0,0
"Lookman, Ademola",21,3,0,2,3,12,0,0
"Lichtsteiner, Stephan",14,10,0,0,0,1,3,0
"Masina, Adam",14,11,0,0,0,3,5,0
Bernardo,22,19,0,1,3,9,4,0
"Foster, Ben",38,38,0,0,1,3,1,0
"Durm, Erik",28,21,0,1,0,10,0,0
"Le Marchand, Maxime",26,25,0,1,0,6,5,0
"Gunn, Angus",12,12,0,0,0,0,0,0
"Vestergaard, Jannik",23,23,0,0,2,14,2,0
"Button, David",4,4,0,0,0,0,0,0
"Bissouma, Yves",28,17,0,0,3,30,5,0
Alisson,38,38,0,0,0,0,1,0
"Guendouzi, Matteo",33,23,0,0,4,17,9,0
"Jenkinson, Carl",3,2,0,0,0,0,0,0
"Bennett, Joe",30,30,0,1,3,10,5,0
"Etheridge, Neil",38,38,0,0,0,0,2,0
"Peltier, Lee",20,17,0,0,1,1,4,0
"Richards, Jazz",4,0,0,0,0,0,0,0
"Ralls, Joe",28,22,0,0,2,20,4,1
"Healey, Rhys",3,0,0,0,0,1,0,0
"Diakhaby, Adama",12,6,0,0,3,7,1,0
"Jahanbakhsh, Alireza",19,12,0,0,7,22,2,0
"Rico, Diego",12,5,0,0,0,9,1,0
Fabri,2,2,0,0,0,0,0,0
"Ream, Tim",26,25,0,0,0,1,1,0
"Bettinelli, Marcus",7,7,0,0,0,0,1,0
"McDonald, Kevin",15,10,0,0,0,3,4,0
"Gallagher, Sam",4,0,0,0,0,0,0,0
"Coady, Conor",38,38,0,0,0,0,5,0
"Ruddy, John",1,1,0,0,0,0,0,0
"Mawson, Alfie",15,13,0,0,1,2,2,0
"Montoya, Martin",25,24,0,1,2,7,4,0
"Anguissa, Andre Zambo",22,16,0,0,5,20,1,0
"Bryan, Joe",28,27,0,1,7,22,5,0
"Rico, Sergio",29,29,0,0,0,0,1,0
"Amos, Luke",1,0,0,0,0,0,0,0
"Sanchez, Carlos",7,2,0,0,0,3,0,0
"Arrizabalaga, Kepa",36,36,0,0,0,0,2,0
"Kovacic, Mateo",32,21,0,2,4,28,3,0
"Soyuncu, Caglar",6,4,0,0,0,2,1,0
"Fernandez, Federico",19,17,0,1,1,3,2,0
"Mee, Ben",38,38,0,2,4,22,9,0
"Skipp, Oliver",8,2,0,0,0,2,0,0
"Johnson, Tyreke",1,0,0,0,0,0,0,0
"Gomes, Angel",2,0,0,0,1,2,0,0
"Ramsay, Kayne",1,1,0,0,0,0,0,0
"Silva, Xande",1,0,0,0,0,1,0,0
"Saka, Bukayo",1,0,0,0,0,0,0,0
"Nasri, Samir",5,3,0,2,0,3,0,0
"Slattery, Callum",3,1,0,0,0,2,0,0
"Mepham, Chris",13,10,0,1,0,2,1,0
"Barreca, Antonio",1,0,0,0,0,0,0,0
"Crouch, Peter",6,0,0,0,1,4,1,0
"Bacuna, Leandro",11,4,0,0,1,4,2,0
"Suarez, Denis",4,0,0,0,0,0,0,0
"Almiron, Miguel",10,9,0,0,8,21,0,0
"Nordtveit, Havard",5,4,0,0,0,0,0,0
"Duhaney, Demeaco",1,1,0,0,0,0,0,0
"Johnson, Ben",1,1,0,0,0,0,0,0
"Garner, James",1,0,0,0,0,0,0,0
"Surridge, Sam",2,0,0,0,1,1,0,0
"Chong, Tahith",2,0,0,0,1,1,0,0
"Rowe, Aaron",2,1,0,0,0,0,0,0
"Greenwood, Mason",3,1,0,0,4,7,0,0
"Daly, Matty",2,0,0,0,0,0,0,0
"Travers, Mark",2,2,0,0,0,0,0,0
"Elliott, Harvey",2,0,0,0,1,1,0,0
"Kilman, Max",1,0,0,0,0,0,0,0
"Dreher, Luke",1,0,0,0,0,0,0,0
